rest_name,rating,pro_offer,offer,del_time,category,cost_for_one,recent_orders_count
Brownie Busters,-,,20% OFF,43 min,"Ice Cream, Fast Food, Beverages",₹150 for one,50+ orders placed from here recently
Cake 24x7,-,,35% OFF,67 min,"Bakery, Desserts",₹150 for one,
Hi Basket,-,,,40 min,"Beverages, Juices, Shake",₹150 for one,
The Hungry Chick,2.9,,60% OFF,49 min,"Salad, Pasta, Burger, Fast Food",₹150 for one,125+ orders placed from here recently
Mom's House,3.6,,,40 min,"Lebanese, Chinese, South Indian",₹150 for one,150+ orders placed from here recently
Ambur Star Biryani,-,,,47 min,"South Indian, Biryani, Chinese",₹150 for one,
The Sea Kitchen,New,,,47 min,Seafood,₹150 for one,
Tiffinys,4.0,,,42 min,"North Indian, South Indian, Continental, Chinese",₹150 for one,Follows all Max Safety measures to ensure your food is safe
BaBQ Station,4.0,,,48 min,"BBQ, Rolls, Kebab",₹100 for one,
The Waffle Galaxy,New,,,55 min,"Ice Cream, Desserts",₹100 for one,
Anbu Chettinad Mess,3.4,,20% OFF,30 min,"Biryani, Chettinad",₹100 for one,325+ orders placed from here recently
Biryani King,New,,20% OFF,50 min,"Biryani, Fast Food",₹100 for one,50+ orders placed from here recently
When In Doubt Eat Ice Cream,New,,50% OFF,56 min,"Lebanese, Fast Food, Ice Cream, Desserts, Beverages",₹100 for one,
Cothas Coffee,New,,,51 min,Coffee,₹100 for one,
Elevate Bar & Lounge,-,,,43 min,"North Indian, South Indian, Finger Food, Fast Food, Biryani, Shake",₹100 for one,Restaurant partner follows WHO protocol
Suriya Sweets,-,,,50 min,"Mithai, Street Food",₹100 for one,
Abi's Kitchen,New,,,45 min,South Indian,₹100 for one,
The Grill Theory,New,,20% OFF,49 min,"BBQ, Fast Food, Lebanese, Biryani",₹100 for one,
Heat Square,New,,,46 min,"Burger, Wraps, Fast Food, Chinese, Mughlai",₹100 for one,
OK Chips,-,,,58 min,"Mithai, Street Food",₹100 for one,
Sandwich Shack,New,,,51 min,"Fast Food, Beverages",₹150 for one,
Burgerzilla,New,,,54 min,"Burger, Beverages, Fast Food",₹150 for one,
Hot Cross Burger,3.3,,30% OFF,51 min,"Fast Food, Beverages, Shake",₹150 for one,75+ orders placed from here recently
5 Shots Bistro Cafe,New,,,45 min,"Beverages, Sandwich, Fast Food",₹150 for one,
Chick-Inn,4.0,,,39 min,"Lebanese, Fast Food, Beverages",₹150 for one,
Ovenstory Pizza,3.7,Pro extra 10% OFF,60% OFF,39 min,"Pizza, Fast Food, Italian, Shake",₹150 for one,375+ orders placed from here recently
Red Door Cafe - The Game Hub,3.9,,30% OFF,49 min,"American, Italian, Fast Food, Beverages, Desserts, Wraps, Sandwich, Burger",₹150 for one,Follows all Max Safety measures to ensure your food is safe
Sita Paani Restaurant,3.7,,,,"North Indian, Mughlai, Chinese, Biryani, Seafood, Desserts, Beverages",₹150 for one,
McDonald's,4.2,,,,"Burger, Fast Food, Beverages",₹150 for one,1675+ orders placed from here recently
Sri Kumaran Mess,3.7,,50% OFF,,"South Indian, Biryani",₹150 for one,1550+ orders placed from here recently
Aroma Bakery,4.1,,30% OFF,,"Bakery, South Indian, Chinese, North Indian, Fast Food, Beverages, Shake",₹150 for one,
Sree Annapoorna Sweets & Savouries,4.3,,,,"Mithai, Desserts, Street Food",₹150 for one,Follows all Max Safety measures to ensure your food is safe
Street Arabiya,3.8,,,,"Lebanese, Fast Food, Arabian, Kebab, Beverages",₹150 for one,375+ orders placed from here recently
Jacob's Tasty Treats,4.2,,,,Bakery,₹150 for one,250+ orders placed from here recently
Agarwal Sweet Palace,4.4,,,,"Fast Food, Mithai, Street Food, North Indian, Desserts",₹150 for one,
Sri Sai Cafe,3.8,,10% OFF,,"South Indian, Chinese",₹150 for one,525+ orders placed from here recently
Abu Bhai Biriyani,4.0,,40% OFF,,Biryani,₹150 for one,50+ orders placed from here recently
Yari,4.1,,,,"North Indian, Chinese, Street Food, Fast Food, Beverages, Shake",₹150 for one,
Kokkarako,4.0,,,,"Chettinad, Chinese, Biryani, Arabian, North Indian, Shake",₹150 for one,125+ orders placed from here recently
Ajmeer Biriyani,4.1,,40% OFF,,"South Indian, Biryani",₹100 for one,225+ orders placed from here recently
